param R := 16;
param D :=6;
param F :=50;
param N :=7;

param : v := /* Domain,Node,Global_node*/
1 1 1
1 2 2
1 3 3
1 4 4
1 5 5
1 6 6
1 7 7
2 1 8
2 2 9
2 3 10
2 4 11
2 5 12
2 6 13
2 7 14
3 1 15
3 2 16
3 3 17
3 4 18
3 5 19
3 6 20
3 7 21
4 1 22
4 2 23
4 3 24
4 4 25
4 5 26
4 6 27
4 7 28
5 1 29
5 2 30
5 3 31
5 4 32
5 5 33
5 6 34
5 7 35
6 1 36
6 2 37
6 3 38
6 4 39
6 5 40
6 6 41
6 7 42
;

param :L :c :=
1 1 1 2 1
1 1 1 3 1
1 1 1 4 1
1 1 1 5 1
1 1 1 6 1
1 1 1 7 1
1 1 2 1 1
1 1 2 3 1
1 1 2 4 1
1 1 2 5 1
1 1 2 6 1
1 1 2 7 1
1 1 3 1 1
1 1 3 2 1
1 1 3 4 1
1 1 3 5 1
1 1 3 6 1
1 1 3 7 1
1 1 4 1 1
1 1 4 2 1
1 1 4 3 1
1 1 4 5 1
1 1 4 6 1
1 1 4 7 1
1 1 5 1 1
1 1 5 2 1
1 1 5 3 1
1 1 5 4 1
1 1 5 6 1
1 1 5 7 1
1 1 6 1 1
1 1 6 2 1
1 1 6 3 1
1 1 6 4 1
1 1 6 5 1
1 1 6 7 1
1 2 1 1 1
1 4 2 1 1
2 2 1 3 1
2 2 1 4 1
2 2 1 2 1
2 2 1 5 1
2 2 1 6 1
2 2 1 7 1
2 2 2 1 1
2 2 2 3 1
2 2 2 4 1
2 2 2 5 1
2 2 2 6 1
2 2 2 7 1
2 2 3 1 1
2 2 3 2 1
2 2 3 4 1
2 2 3 5 1
2 2 3 6 1
2 2 3 7 1
2 2 4 1 1
2 2 4 2 1
2 2 4 3 1
2 2 4 5 1
2 2 4 6 1
2 2 4 7 1
2 2 5 1 1
2 2 5 2 1
2 2 5 3 1
2 2 5 4 1
2 2 5 6 1
2 2 5 7 1
2 2 6 1 1
2 2 6 2 1
2 2 6 3 1
2 2 6 4 1
2 2 6 5 1
2 2 6 7 1
2 1 1 1 1
2 3 2 1 1
3 3 1 2 1
3 3 1 3 1
3 3 1 4 1
3 3 1 5 1
3 3 1 6 1
3 3 1 7 1
3 3 2 1 1
3 3 2 3 1
3 3 2 4 1
3 3 2 5 1
3 3 2 6 1
3 3 2 7 1
3 3 3 1 1
3 3 3 2 1
3 3 3 4 1
3 3 3 5 1
3 3 3 6 1
3 3 3 7 1
3 3 4 1 1
3 3 4 2 1
3 3 4 3 1
3 3 4 5 1
3 3 4 6 1
3 3 4 7 1
3 3 5 1 1
3 3 5 2 1
3 3 5 3 1
3 3 5 4 1
3 3 5 6 1
3 3 5 7 1
3 3 6 1 1
3 3 6 2 1
3 3 6 3 1
3 3 6 4 1
3 3 6 5 1
3 3 6 7 1
3 2 1 2 1
3 6 2 1 1
4 4 1 2 1
4 4 1 3 1
4 4 1 4 1
4 4 1 5 1
4 4 1 6 1
4 4 1 7 1
4 4 2 1 1
4 4 2 3 1
4 4 2 4 1
4 4 2 5 1
4 4 2 6 1
4 4 2 7 1
4 4 3 1 1
4 4 3 2 1
4 4 3 4 1
4 4 3 5 1
4 4 3 6 1
4 4 3 7 1
4 4 4 1 1
4 4 4 2 1
4 4 4 3 1
4 4 4 5 1
4 4 4 6 1
4 4 4 7 1
4 4 5 1 1
4 4 5 2 1
4 4 5 3 1
4 4 5 4 1
4 4 5 6 1
4 4 5 7 1
4 4 6 1 1
4 4 6 2 1
4 4 6 3 1
4 4 6 4 1
4 4 6 5 1
4 4 6 7 1
4 1 1 2 1
4 5 2 1 1
5 5 1 2 1
5 5 1 3 1
5 5 1 4 1
5 5 1 5 1
5 5 1 6 1
5 5 1 7 1
5 5 2 1 1
5 5 2 3 1
5 5 2 4 1
5 5 2 5 1
5 5 2 6 1
5 5 2 7 1
5 5 3 1 1
5 5 3 2 1
5 5 3 4 1
5 5 3 5 1
5 5 3 6 1
5 5 3 7 1
5 5 4 1 1
5 5 4 2 1
5 5 4 3 1
5 5 4 5 1
5 5 4 6 1
5 5 4 7 1
5 5 5 1 1
5 5 5 2 1
5 5 5 3 1
5 5 5 4 1
5 5 5 6 1
5 5 5 7 1
5 5 6 1 1
5 5 6 2 1
5 5 6 3 1
5 5 6 4 1
5 5 6 5 1
5 5 6 7 1
5 4 1 2 1
5 6 2 2 1
6 6 1 2 1
6 6 1 3 1
6 6 1 4 1
6 6 1 5 1
6 6 1 6 1
6 6 1 7 1
6 6 2 1 1
6 6 2 3 1
6 6 2 4 1
6 6 2 5 1
6 6 2 6 1
6 6 2 7 1
6 6 3 1 1
6 6 3 2 1
6 6 3 4 1
6 6 3 5 1
6 6 3 6 1
6 6 3 7 1
6 6 4 1 1
6 6 4 2 1
6 6 4 3 1
6 6 4 5 1
6 6 4 6 1
6 6 4 7 1
6 6 5 1 1
6 6 5 2 1
6 6 5 3 1
6 6 5 4 1
