# time.dat
# x   SDS     LD        DD
1     8.258   9.649     10.63
2     10.50   38.1      24.92
3     11.42   61.10     32.34
4     15.55   170.40    65.90
5     20.45   225.6     90.14
6     25.65   433.35    106.60
7     31.60   1269.91   187.18
8     37.29   1799.63   151.59
9     43.69   3155.38   206.21
10    51.26   5409.04   233.65
11    59.92   6414.31   392.06
12    76.02   5767.126  361.90
13    90.47   12273.72  394.73
14    110.41  18903.92  739.60
15    103.57  15641.5   591.40
# end of file
